Movie Title,Date Released,Genre,MPAA Rating,Total Gross,Inflation Adjusted Gross
North Country,21/10/2005,Drama,R,25211175,0
Midnight in the Garden of Good and Evil,21/11/1997,Crime,R,25105255,0
Wyatt Earp,24/06/1994,Adventure,PG-13,25052000,0
Bronco Billy,11/06/1980,Action,PG,24265659,0
The Avengers,14/08/1998,Action,PG-13,23384939,0
The Iron Giant,06/08/1999,Animation,PG,23180087,0
Quest for Camelot,15/05/1998,Animation,G,22510798,0
White Oleander,11/10/2002,Drama,PG-13,21672284,0
The Rookie,07/12/1990,Action,R,21633874,0
"Oh, God! You Devil",09/11/1984,Comedy,PG,21538850,0
New York Minute,07/05/2004,Comedy,PG,21289826,0
Beerfest,25/08/2006,Comedy,R,20387597,0
The Glimmer Man,04/10/1996,Action,R,20351264,0
Altered States,25/12/1980,Horror,R,19853892,0
Summer Catch,24/08/2001,Comedy,PG-13,19772447,0
Police Academy 5: Assignment: Miami Beach,18/03/1988,Comedy,PG,19510371,0
Rock Star,07/09/2001,Drama,R,19334145,0
Little Giants,14/10/1994,Comedy,PG,19306362,0
Deathtrap,19/03/1982,Comedy,PG,19282134,0
Above the Law,22/04/1988,Action,R,18869631,0
Her Alibi,03/02/1989,Comedy,PG,18699037,0
Singles,18/09/1992,Comedy,PG-13,18471850,0
Whiteout,11/09/2009,Action,R,17976667,0
Frantic,26/02/1988,Crime,R,17637950,0
The Mission,31/10/1986,Adventure,PG,17502499,0
Murder in the First,20/01/1995,Drama,R,17381942,0
The NeverEnding Story II: The Next Chapter,08/02/1991,Adventure,PG,17373527,0
True Crime,19/03/1999,Crime,R,16649768,0
The Fountain,22/11/2006,Drama,PG-13,16468343,0
Crossing Delancey,16/09/1988,Comedy,PG,16262415,0
Fire Down Below,05/09/1997,Action,R,16228448,0
Kiss Kiss Bang Bang,18/11/2005,Comedy,R,15785148,0
The Bonfire of the Vanities,21/12/1990,Comedy,R,15691192,0
Pure Country,23/10/1992,Drama,PG,15164458,0
The Assassination of Jesse James by the Coward Robert Ford,19/10/2007,Biography,R,15001776,0
Arthur 2: on the Rocks,08/07/1988,Comedy,PG,14681192,0
Soldier,23/10/1998,Action,R,14594226,0
"Oh, God! Book II",03/10/1980,Comedy,PG,14504277,0
Memoirs of an Invisible Man,28/02/1992,Comedy,PG-13,14358033,0
Osmosis Jones,10/08/2001,Animation,PG,14026418,0
The Man Who Knew Too Little,14/11/1997,Comedy,PG,13717039,0
Class Act,05/06/1992,Comedy,PG-13,13272113,0
Rosewood,21/02/1997,Action,R,13130349,0
Vision Quest,15/02/1985,Drama,R,12993175,0
Club Paradise,11/07/1986,Comedy,PG-13,12308521,0
Police Academy 6: City Under Siege,10/03/1989,Comedy,PG,11567217,0
Young Einstein,04/08/1989,Comedy,PG,11536599,0
Fair Game,03/11/1995,Action,R,11534477,0
The Apparition,24/08/2012,Horror,PG-13,11350665,0
Michael Collins,25/10/1996,Biography,R,11135803,0
The Astronaut Farmer,23/02/2007,Adventure,PG,11130889,0
Jonah Hex,18/06/2010,Action,PG-13,10903312,0
Moving,04/03/1988,Comedy,R,10815378,0
Three to Tango,22/10/1999,Comedy,PG-13,10570375,0
Deal of the Century,04/11/1983,Comedy,PG,10369581,0
Disorderlies,14/08/1987,Comedy,PG,10348437,0
Under the Cherry Moon,02/07/1986,Comedy,PG-13,10090429,0
A Little Princess,19/05/1995,Drama,G,10015449,0
Guilty by Suspicion,15/03/1991,Drama,PG-13,9480198,0
Deadly Friend,10/10/1986,Drama,R,8988731,0
Death to Smoochy,29/03/2002,Comedy,R,8382938,0
If Looks Could Kill,15/03/1991,Action,PG-13,7788597,0
Midnight Special,21/04/2016,Drama,PG-13,6740647,0
Swing Shift,13/04/1984,Drama,PG,6650206,0
Hot to Trot,26/08/1988,Comedy,PG,6436211,0
Batman: Mask of the Phantasm,25/12/1993,Animation,PG,5635204,0
Innocent Blood,25/09/1992,Action,R,4943279,0
Black Beauty,29/07/1994,Adventure,G,4630377,0
Batman: The Killing Joke,25/07/2016,Animation,R,4462034,0
Feds,28/10/1988,Comedy,PG-13,3838793,0
In Country,29/09/1989,Drama,R,3531971,0
Veronica Mars,13/03/2014,Crime,PG-13,3485383,0
Free Willy 3: The Rescue,08/08/1997,Adventure,PG,3446539,0
Dreams,24/08/1990,Drama,PG,2970161,0
Impulse,06/04/1990,Crime,R,2544504,0
Just Tell Me What You Want,18/01/1980,Comedy,R,2086905,0
The Clan of the Cave Bear,17/01/1986,Adventure,R,1953732,0
Being Human,06/05/1994,Comedy,PG-13,1519366,0
Of Unknown Origin,24/11/1983,Horror,R,1080470,0
Dogfight,04/10/1991,Comedy,R,394631,0
Police Academy: Mission to Moscow,26/08/1994,Comedy,PG,126247,0
Fandango,25/01/1985,Comedy,PG,91666,0
Bugs Bunny's 3rd Movie: 1001 Rabbit Tales,19/11/1982,Animation,G,78350,0
Independence Day,09/09/1983,Drama,R,,0
